site_code,port_id,status,flag,datetime_stamp,datetime_polling,wilayah
TBLA,16A,43,0,2023-08-05 16:09:07,2023-08-05 16:09:07,Babel
TJNA,16A,4,0,2023-08-05 16:09:07,2023-08-05 16:09:07,Babel
SLTA,16A,53,0,2023-08-05 16:09:07,2023-08-05 16:09:07,Babel
PGPA,16A,56,0,2023-08-05 16:09:07,2023-08-05 16:09:07,Babel
NTBI,16A,34,0,2023-08-05 16:09:07,2023-08-05 16:09:07,Babel
NSLT,16A,11,0,2023-08-05 16:09:07,2023-08-05 16:09:07,Babel
NPSR,16A,22,0,2023-08-05 16:09:07,2023-08-05 16:09:07,Babel
NKBA,16A,33,0,2023-08-05 16:09:07,2023-08-05 16:09:07,Babel
MTKA,16A,43,0,2023-08-05 16:09:07,2023-08-05 16:09:07,Babel
MGRA,16A,34,0,2023-08-05 16:09:07,2023-08-05 16:09:07,Babel
KLPA,16A,3,0,2023-08-05 16:09:07,,Babel
BLYA,16A,2,0,2023-08-05 16:09:07,2023-08-05 16:09:07,Babel
TJNA,16A,22,0,2023-08-05 05:10:47,2023-08-05 05:10:47,Babel
IDIA,16A,321,0,2023-07-30 22:39:10,2023-07-30 22:39:10,babel
