site_code,port_id,status,flag,datetime_stamp,datetime_polling,wilayah
BINA,16A,45,0,2023-08-02 16:37:56,2023-08-02 16:37:56,Bengkulu
BINA,16A,32,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
CRPA,16A,22,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
IPUA,16A,21,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
KPHA,16A,212,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
KTHA,16A,13,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
MNAA,16A,43,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
MANA,16A,65,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
MKOA,16A,73,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
BNKC,16A,122,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
AGRA,16A,12,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
MKOA,,0,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
BNKC,,0,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
BINA,,0,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
CRPA,,0,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
IPUA,,0,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
KPHA,,0,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
KTHA,,0,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
MNAA,,0,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
MANA,,0,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
AGRA,,0,0,2023-08-02 16:24:52,2023-08-02 16:24:52,Bengkulu
