site_code,port_id,status,flag,datetime_stamp,datetime_polling,wilayah
BDAA,16A,303,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
META,16A,270,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
NTRA,16A,278,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
PJNA,16A,280,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
PSTA,16A,277,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
PRWA,16A,241,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
SGGA,16A,240,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
SPSA,16A,154,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
SRWA,16A,169,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
SKDA,16A,207,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
TGPA,16A,230,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
TJKA,16A,16,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
TKBA,16A,50,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
UNDA,16A,57,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
MGAA,16A,257,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
LIWA,16A,165,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
BBUA,16A,302,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
BKMA,16A,208,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
FBLA,16A,218,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
GDTA,16A,321,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
ITSA,16A,322,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
KLAA,16A,260,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
KLRA,16A,278,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
KDTA,16A,256,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
KOTA,16A,278,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
KBIA,16A,17,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
KRUA,16A,26,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
LBMA,16A,204,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
LKPA,16A,243,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
WJPA,16A,52,0,2023-08-03 06:26:41,2023-08-03 06:26:41,Lampung
