site_code,port_id,status,flag,datetime_stamp,datetime_polling,wilayah
KNIA,16A,23,22,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
PERA,16A,34,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
PRCA,16A,6,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
PUBA,16A,23,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
SPLA,16A,4,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
STBA,16A,299,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
KULA,16A,72,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
SKIB,16A,38,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
TJRA,16A,144,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
TJWA,16A,10,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
TJPA,16A,36,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
TMBA,16A,96,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
TTCA,16A,47,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
PSSA,16A,6,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
PBDA,16A,8,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
BJIA,16A,76,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
CTDA,16A,63,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
CNDC,16A,27,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
CTHA,16A,54,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
DLTA,16A,17,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
GLGA,16A,32,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
JPTA,16A,19,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
KPTI,16A,30,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
LBPA,16A,300,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
MDNC,16A,89,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
RIAS,16A,46,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
PDBA,16A,23,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
TTGA,16A,94,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Medan
