site_code,port_id,status,flag,datetime_stamp,datetime_polling,wilayah
AMKA,16A,230,22,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
SAPA,16A,77,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
SGPA,16A,98,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
SLPA,16A,244,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
SLSA,16A,300,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
SAKA,16A,86,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
GLBA,16A,56,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
SJDA,16A,45,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
TKMA,16A,91,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
SORA,16A,93,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
SKMA,16A,84,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
TAKA,16A,42,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
TBHA,16A,90,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
TLSD,16A,30,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
DLUA,16A,74,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
LPKA,16A,70,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
MLBA,16A,70,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
RBIA,16A,99,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
RGTA,16A,54,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
RBSA,16A,123,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
ARKA,16A,45,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
BGUA,16A,65,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
BAGA,16A,67,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
BKNA,16A,55,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
BASA,16A,77,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
BKRA,16A,33,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
DMIA,16A,89,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
DRIA,16A,90,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
KLEN,16A,100,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
MISA,16A,189,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
PBRC,16A,76,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
PKRA,16A,234,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
PPNA,16A,88,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
PMBA,16A,68,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
PNPA,16A,234,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
PWGA,16A,76,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
UBTA,16A,82,0,2023-08-03 04:27:04,2023-08-03 04:27:04,RIDAR
