site_code,port_id,status,flag,datetime_stamp,datetime_polling,wilayah
DBSA,16A,154,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
NGSA,16A,104,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
PNIA,16A,105,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
SGLA,16A,108,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
SKNA,16A,120,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
TJUA,16A,121,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
TBKA,16A,160,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
TJTA,16A,180,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
TPIA,16A,207,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
LBJA,16A,102,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
KBLA,16A,204,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
BIDC,16A,126,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
KJGA,16A,81,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
KM10,16A,98,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
BTCA,16A,8,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
BUMA,16A,17,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
BLPA,16A,149,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
BDSA,16A,126,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
BDS2,16A,201,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
TGUA,16A,209,0,2023-08-03 06:05:02,2023-08-03 06:05:02,Rikep
