site_code,port_id,status,flag,datetime_stamp,datetime_polling,wilayah
KYTA,16A,45,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
PMNA,16A,56,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
PNN,16A,58,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
PDCA,16A,79,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
NRS,16A,68,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
LBYA,16A,167,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
LBAA,16A,299,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
LMNA,16A,289,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
KRJA,16A,176,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
BGSA,16A,145,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
PSBA,16A,65,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
PKBA,16A,166,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
KMBG,16A,20,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
BSKA,16A,13,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
ULKA,16A,15,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
TKU,16A,111,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
TLBA,16A,126,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
TPNA,16A,136,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
SLMA,16A,156,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
STBA,16A,265,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
SCC,16A,146,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
BDBA,16A,268,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
BLS,16A,267,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
KALI,16A,200,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
KIJO,16A,260,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
KMGA,16A,230,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
HRUA,16A,245,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
GNMD,16A,211,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
BKTA,16A,231,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
BSOA,16A,330,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
ALH,16A,260,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
ABG,16A,230,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
LNTA,16A,278,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
LBBA,16A,290,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
TAPA,16A,244,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
SUMA,16A,255,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
SLK,16A,312,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
SPPA,16A,277,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
SLUA,16A,289,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
PTIA,16A,256,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
PDJA,16A,213,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
MINA,16A,333,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
LBSA,16A,221,0,2023-08-03 05:25:12,2023-08-03 05:25:12,SUMBAR
SLNA,16A,2,0,2023-08-03 05:24:37,2023-08-03 05:24:37,SUMBAR
