site_code,port_id,status,flag,datetime_stamp,datetime_polling,wilayah
BKSA,16A,23,22,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
LHTA,16A,38,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
LLGA,16A,144,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
MTPA,16A,10,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
MDAA,16A,36,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
MEMA,16A,96,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
PGAA,16A,47,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
PDTU,16A,94,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
PBMA,16A,93,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
SKYA,16A,82,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
SPUA,16A,43,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
SLLA,16A,92,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
SSGA,16A,20,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
TABA,16A,14,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
TAMA,16A,40,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
TGMA,16A,50,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
KAGA,16A,72,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
BLTA,16A,299,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
BBTA,16A,76,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
BTUA,16A,27,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
IDLA,16A,54,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
KTUA,16A,17,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
MRAA,16A,32,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
PGCA,16A,19,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
PBLA,16A,30,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
PDPA,16A,300,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
PLJA,16A,89,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
SBUA,16A,46,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
SGBA,16A,8,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
TRAA,16A,34,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
TISS,16A,6,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
TSEL,16A,23,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
BTAA,16A,4,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
TGMB,16A,65,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumsel
