site_code,port_id,status,flag,datetime_stamp,datetime_polling,wilayah
ANPA,16A,54,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
SBOA,16A,42,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
RAPA,16A,84,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
RBMA,16A,93,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
PRAA,16A,91,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
PPTA,16A,45,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
PSAA,16A,56,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
PDNA,16A,86,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
PYBA,16A,300,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
PMSC,16A,244,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
SRAA,16A,90,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
SBNA,16A,30,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
SBGA,16A,74,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
ANPA,16A,54,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
TGDA,16A,55,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
TJBA,16A,77,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
SBLA,16A,32,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
SIPA,16A,82,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
SPEA,16A,66,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
SDKA,16A,70,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
SIHA,16A,71,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
SIBA,16A,70,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
PMYA,16A,98,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
PRRA,16A,77,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
DLSA,16A,89,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
BSTA,16A,33,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
BGOA,16A,77,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
BUSA,16A,55,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
BDBA,16A,67,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
BLGA,16A,65,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
ABAA,16A,45,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
ANRA,16A,230,22,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
ANPA,16A,54,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
GNTA,16A,100,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
IDAA,16A,189,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
PNDA,16A,99,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
PSPA,16A,54,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
NGBA,16A,123,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
NTLA,16A,76,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
LBKA,16A,234,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
KPIA,16A,68,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
KONA,16A,88,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
KISA,16A,234,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
KBJA,16A,76,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
GST,16A,90,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Sumut
ABAA,16A,12,0,2023-08-03 04:25:38,2023-08-03 04:25:38,Sumut
